[1, 11, 10, 9, 8, 7, 6, 4, 5, 2, 3, 12]
[12, 1, 11, 10, 9, 8, 7, 6, 4, 5, 2, 3]
[10, 11, 1, 12, 9, 8, 7, 6, 4, 5, 2, 3]
[3, 10, 11, 1, 12, 9, 8, 7, 6, 4, 5, 2]
[1, 11, 10, 3, 12, 9, 8, 7, 6, 4, 5, 2]
[2, 1, 11, 10, 3, 12, 9, 8, 7, 6, 4, 5]
[10, 11, 1, 2, 3, 12, 9, 8, 7, 6, 4, 5]
[11, 1, 2, 3, 12, 9, 8, 7, 6, 4, 5, 10]
[3, 2, 1, 11, 12, 9, 8, 7, 6, 4, 5, 10]
[10, 3, 2, 1, 11, 12, 9, 8, 7, 6, 4, 5]
[1, 2, 3, 10, 11, 12, 9, 8, 7, 6, 4, 5]
[2, 3, 10, 11, 12, 9, 8, 7, 6, 4, 5, 1]
[3, 10, 11, 12, 9, 8, 7, 6, 4, 5, 1, 2]
[10, 11, 12, 9, 8, 7, 6, 4, 5, 1, 2, 3]
[9, 12, 11, 10, 8, 7, 6, 4, 5, 1, 2, 3]
[12, 11, 10, 8, 7, 6, 4, 5, 1, 2, 3, 9]
[8, 10, 11, 12, 7, 6, 4, 5, 1, 2, 3, 9]
[10, 11, 12, 7, 6, 4, 5, 1, 2, 3, 9, 8]
[7, 12, 11, 10, 6, 4, 5, 1, 2, 3, 9, 8]
[12, 11, 10, 6, 4, 5, 1, 2, 3, 9, 8, 7]
[6, 10, 11, 12, 4, 5, 1, 2, 3, 9, 8, 7]
[7, 6, 10, 11, 12, 4, 5, 1, 2, 3, 9, 8]
[8, 7, 6, 10, 11, 12, 4, 5, 1, 2, 3, 9]
[9, 8, 7, 6, 10, 11, 12, 4, 5, 1, 2, 3]
[6, 7, 8, 9, 10, 11, 12, 4, 5, 1, 2, 3]
[3, 6, 7, 8, 9, 10, 11, 12, 4, 5, 1, 2]
[2, 3, 6, 7, 8, 9, 10, 11, 12, 4, 5, 1]
[1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 4, 5]
[5, 1, 2, 3, 6, 7, 8, 9, 10, 11, 12, 4]
[3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 4]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
