[3, 9, 4, 12, 8, 10, 6, 11, 2, 5, 7, 1]
[1, 3, 9, 4, 12, 8, 10, 6, 11, 2, 5, 7]
[4, 9, 3, 1, 12, 8, 10, 6, 11, 2, 5, 7]
[7, 4, 9, 3, 1, 12, 8, 10, 6, 11, 2, 5]
[5, 7, 4, 9, 3, 1, 12, 8, 10, 6, 11, 2]
[2, 5, 7, 4, 9, 3, 1, 12, 8, 10, 6, 11]
[11, 2, 5, 7, 4, 9, 3, 1, 12, 8, 10, 6]
[7, 5, 2, 11, 4, 9, 3, 1, 12, 8, 10, 6]
[6, 7, 5, 2, 11, 4, 9, 3, 1, 12, 8, 10]
[2, 5, 7, 6, 11, 4, 9, 3, 1, 12, 8, 10]
[10, 2, 5, 7, 6, 11, 4, 9, 3, 1, 12, 8]
[8, 10, 2, 5, 7, 6, 11, 4, 9, 3, 1, 12]
[5, 2, 10, 8, 7, 6, 11, 4, 9, 3, 1, 12]
[12, 5, 2, 10, 8, 7, 6, 11, 4, 9, 3, 1]
[1, 12, 5, 2, 10, 8, 7, 6, 11, 4, 9, 3]
[3, 1, 12, 5, 2, 10, 8, 7, 6, 11, 4, 9]
[5, 12, 1, 3, 2, 10, 8, 7, 6, 11, 4, 9]
[9, 5, 12, 1, 3, 2, 10, 8, 7, 6, 11, 4]
[4, 9, 5, 12, 1, 3, 2, 10, 8, 7, 6, 11]
[11, 4, 9, 5, 12, 1, 3, 2, 10, 8, 7, 6]
[5, 9, 4, 11, 12, 1, 3, 2, 10, 8, 7, 6]
[6, 5, 9, 4, 11, 12, 1, 3, 2, 10, 8, 7]
[7, 6, 5, 9, 4, 11, 12, 1, 3, 2, 10, 8]
[8, 7, 6, 5, 9, 4, 11, 12, 1, 3, 2, 10]
[5, 6, 7, 8, 9, 4, 11, 12, 1, 3, 2, 10]
[6, 7, 8, 9, 4, 11, 12, 1, 3, 2, 10, 5]
[7, 8, 9, 4, 11, 12, 1, 3, 2, 10, 5, 6]
[8, 9, 4, 11, 12, 1, 3, 2, 10, 5, 6, 7]
[9, 4, 11, 12, 1, 3, 2, 10, 5, 6, 7, 8]
[4, 11, 12, 1, 3, 2, 10, 5, 6, 7, 8, 9]
[1, 12, 11, 4, 3, 2, 10, 5, 6, 7, 8, 9]
[12, 11, 4, 3, 2, 10, 5, 6, 7, 8, 9, 1]
[11, 4, 3, 2, 10, 5, 6, 7, 8, 9, 1, 12]
[4, 3, 2, 10, 5, 6, 7, 8, 9, 1, 12, 11]
[10, 2, 3, 4, 5, 6, 7, 8, 9, 1, 12, 11]
[11, 10, 2, 3, 4, 5, 6, 7, 8, 9, 1, 12]
[12, 11, 10, 2, 3, 4, 5, 6, 7, 8, 9, 1]
[1, 12, 11, 10, 2, 3, 4, 5, 6, 7, 8, 9]
[10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
