[2, 1, 4, 7, 11, 9, 10, 6, 12, 8, 5, 3]
[1, 4, 7, 11, 9, 10, 6, 12, 8, 5, 3, 2]
[4, 7, 11, 9, 10, 6, 12, 8, 5, 3, 2, 1]
[7, 11, 9, 10, 6, 12, 8, 5, 3, 2, 1, 4]
[11, 9, 10, 6, 12, 8, 5, 3, 2, 1, 4, 7]
[6, 10, 9, 11, 12, 8, 5, 3, 2, 1, 4, 7]
[7, 6, 10, 9, 11, 12, 8, 5, 3, 2, 1, 4]
[9, 10, 6, 7, 11, 12, 8, 5, 3, 2, 1, 4]
[4, 9, 10, 6, 7, 11, 12, 8, 5, 3, 2, 1]
[1, 4, 9, 10, 6, 7, 11, 12, 8, 5, 3, 2]
[2, 1, 4, 9, 10, 6, 7, 11, 12, 8, 5, 3]
[3, 2, 1, 4, 9, 10, 6, 7, 11, 12, 8, 5]
[4, 1, 2, 3, 9, 10, 6, 7, 11, 12, 8, 5]
[5, 4, 1, 2, 3, 9, 10, 6, 7, 11, 12, 8]
[8, 5, 4, 1, 2, 3, 9, 10, 6, 7, 11, 12]
[1, 4, 5, 8, 2, 3, 9, 10, 6, 7, 11, 12]
[4, 5, 8, 2, 3, 9, 10, 6, 7, 11, 12, 1]
[2, 8, 5, 4, 3, 9, 10, 6, 7, 11, 12, 1]
[8, 5, 4, 3, 9, 10, 6, 7, 11, 12, 1, 2]
[3, 4, 5, 8, 9, 10, 6, 7, 11, 12, 1, 2]
[4, 5, 8, 9, 10, 6, 7, 11, 12, 1, 2, 3]
[5, 8, 9, 10, 6, 7, 11, 12, 1, 2, 3, 4]
[8, 9, 10, 6, 7, 11, 12, 1, 2, 3, 4, 5]
[6, 10, 9, 8, 7, 11, 12, 1, 2, 3, 4, 5]
[10, 9, 8, 7, 11, 12, 1, 2, 3, 4, 5, 6]
[7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5, 6]
[6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5]
[5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
