[1, 3, 9, 5, 11, 4, 2, 12, 10, 7, 8, 6]
[3, 9, 5, 11, 4, 2, 12, 10, 7, 8, 6, 1]
[9, 5, 11, 4, 2, 12, 10, 7, 8, 6, 1, 3]
[4, 11, 5, 9, 2, 12, 10, 7, 8, 6, 1, 3]
[11, 5, 9, 2, 12, 10, 7, 8, 6, 1, 3, 4]
[5, 9, 2, 12, 10, 7, 8, 6, 1, 3, 4, 11]
[12, 2, 9, 5, 10, 7, 8, 6, 1, 3, 4, 11]
[11, 12, 2, 9, 5, 10, 7, 8, 6, 1, 3, 4]
[4, 11, 12, 2, 9, 5, 10, 7, 8, 6, 1, 3]
[3, 4, 11, 12, 2, 9, 5, 10, 7, 8, 6, 1]
[12, 11, 4, 3, 2, 9, 5, 10, 7, 8, 6, 1]
[1, 12, 11, 4, 3, 2, 9, 5, 10, 7, 8, 6]
[6, 1, 12, 11, 4, 3, 2, 9, 5, 10, 7, 8]
[8, 6, 1, 12, 11, 4, 3, 2, 9, 5, 10, 7]
[7, 8, 6, 1, 12, 11, 4, 3, 2, 9, 5, 10]
[10, 7, 8, 6, 1, 12, 11, 4, 3, 2, 9, 5]
[5, 10, 7, 8, 6, 1, 12, 11, 4, 3, 2, 9]
[8, 7, 10, 5, 6, 1, 12, 11, 4, 3, 2, 9]
[9, 8, 7, 10, 5, 6, 1, 12, 11, 4, 3, 2]
[10, 7, 8, 9, 5, 6, 1, 12, 11, 4, 3, 2]
[2, 10, 7, 8, 9, 5, 6, 1, 12, 11, 4, 3]
[3, 2, 10, 7, 8, 9, 5, 6, 1, 12, 11, 4]
[4, 3, 2, 10, 7, 8, 9, 5, 6, 1, 12, 11]
[10, 2, 3, 4, 7, 8, 9, 5, 6, 1, 12, 11]
[11, 10, 2, 3, 4, 7, 8, 9, 5, 6, 1, 12]
[12, 11, 10, 2, 3, 4, 7, 8, 9, 5, 6, 1]
[1, 12, 11, 10, 2, 3, 4, 7, 8, 9, 5, 6]
[10, 11, 12, 1, 2, 3, 4, 7, 8, 9, 5, 6]
[6, 10, 11, 12, 1, 2, 3, 4, 7, 8, 9, 5]
[5, 6, 10, 11, 12, 1, 2, 3, 4, 7, 8, 9]
[9, 5, 6, 10, 11, 12, 1, 2, 3, 4, 7, 8]
[8, 9, 5, 6, 10, 11, 12, 1, 2, 3, 4, 7]
[7, 8, 9, 5, 6, 10, 11, 12, 1, 2, 3, 4]
[5, 9, 8, 7, 6, 10, 11, 12, 1, 2, 3, 4]
[9, 8, 7, 6, 10, 11, 12, 1, 2, 3, 4, 5]
[6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4, 5]
[5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3, 4]
[4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2, 3]
[3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1, 2]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
