[4, 3, 1, 7, 11, 8, 6, 9, 12, 5, 10, 2]
[7, 1, 3, 4, 11, 8, 6, 9, 12, 5, 10, 2]
[1, 3, 4, 11, 8, 6, 9, 12, 5, 10, 2, 7]
[11, 4, 3, 1, 8, 6, 9, 12, 5, 10, 2, 7]
[7, 11, 4, 3, 1, 8, 6, 9, 12, 5, 10, 2]
[3, 4, 11, 7, 1, 8, 6, 9, 12, 5, 10, 2]
[2, 3, 4, 11, 7, 1, 8, 6, 9, 12, 5, 10]
[11, 4, 3, 2, 7, 1, 8, 6, 9, 12, 5, 10]
[10, 11, 4, 3, 2, 7, 1, 8, 6, 9, 12, 5]
[5, 10, 11, 4, 3, 2, 7, 1, 8, 6, 9, 12]
[12, 5, 10, 11, 4, 3, 2, 7, 1, 8, 6, 9]
[11, 10, 5, 12, 4, 3, 2, 7, 1, 8, 6, 9]
[9, 11, 10, 5, 12, 4, 3, 2, 7, 1, 8, 6]
[6, 9, 11, 10, 5, 12, 4, 3, 2, 7, 1, 8]
[10, 11, 9, 6, 5, 12, 4, 3, 2, 7, 1, 8]
[11, 9, 6, 5, 12, 4, 3, 2, 7, 1, 8, 10]
[5, 6, 9, 11, 12, 4, 3, 2, 7, 1, 8, 10]
[10, 5, 6, 9, 11, 12, 4, 3, 2, 7, 1, 8]
[9, 6, 5, 10, 11, 12, 4, 3, 2, 7, 1, 8]
[8, 9, 6, 5, 10, 11, 12, 4, 3, 2, 7, 1]
[1, 8, 9, 6, 5, 10, 11, 12, 4, 3, 2, 7]
[6, 9, 8, 1, 5, 10, 11, 12, 4, 3, 2, 7]
[9, 8, 1, 5, 10, 11, 12, 4, 3, 2, 7, 6]
[5, 1, 8, 9, 10, 11, 12, 4, 3, 2, 7, 6]
[6, 5, 1, 8, 9, 10, 11, 12, 4, 3, 2, 7]
[7, 6, 5, 1, 8, 9, 10, 11, 12, 4, 3, 2]
[1, 5, 6, 7, 8, 9, 10, 11, 12, 4, 3, 2]
[2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 4, 3]
[3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12, 4]
[4, 3, 2, 1, 5, 6, 7, 8, 9, 10, 11, 12]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
