[8, 6, 3, 10, 5, 2, 1, 4, 12, 9, 11, 7]
[7, 8, 6, 3, 10, 5, 2, 1, 4, 12, 9, 11]
[11, 7, 8, 6, 3, 10, 5, 2, 1, 4, 12, 9]
[9, 11, 7, 8, 6, 3, 10, 5, 2, 1, 4, 12]
[8, 7, 11, 9, 6, 3, 10, 5, 2, 1, 4, 12]
[12, 8, 7, 11, 9, 6, 3, 10, 5, 2, 1, 4]
[4, 12, 8, 7, 11, 9, 6, 3, 10, 5, 2, 1]
[7, 8, 12, 4, 11, 9, 6, 3, 10, 5, 2, 1]
[8, 12, 4, 11, 9, 6, 3, 10, 5, 2, 1, 7]
[12, 4, 11, 9, 6, 3, 10, 5, 2, 1, 7, 8]
[4, 11, 9, 6, 3, 10, 5, 2, 1, 7, 8, 12]
[11, 9, 6, 3, 10, 5, 2, 1, 7, 8, 12, 4]
[3, 6, 9, 11, 10, 5, 2, 1, 7, 8, 12, 4]
[6, 9, 11, 10, 5, 2, 1, 7, 8, 12, 4, 3]
[10, 11, 9, 6, 5, 2, 1, 7, 8, 12, 4, 3]
[3, 10, 11, 9, 6, 5, 2, 1, 7, 8, 12, 4]
[4, 3, 10, 11, 9, 6, 5, 2, 1, 7, 8, 12]
[11, 10, 3, 4, 9, 6, 5, 2, 1, 7, 8, 12]
[10, 3, 4, 9, 6, 5, 2, 1, 7, 8, 12, 11]
[3, 4, 9, 6, 5, 2, 1, 7, 8, 12, 11, 10]
[4, 9, 6, 5, 2, 1, 7, 8, 12, 11, 10, 3]
[9, 6, 5, 2, 1, 7, 8, 12, 11, 10, 3, 4]
[6, 5, 2, 1, 7, 8, 12, 11, 10, 3, 4, 9]
[1, 2, 5, 6, 7, 8, 12, 11, 10, 3, 4, 9]
[9, 1, 2, 5, 6, 7, 8, 12, 11, 10, 3, 4]
[4, 9, 1, 2, 5, 6, 7, 8, 12, 11, 10, 3]
[2, 1, 9, 4, 5, 6, 7, 8, 12, 11, 10, 3]
[3, 2, 1, 9, 4, 5, 6, 7, 8, 12, 11, 10]
[9, 1, 2, 3, 4, 5, 6, 7, 8, 12, 11, 10]
[10, 9, 1, 2, 3, 4, 5, 6, 7, 8, 12, 11]
[11, 10, 9, 1, 2, 3, 4, 5, 6, 7, 8, 12]
[12, 11, 10, 9, 1, 2, 3, 4, 5, 6, 7, 8]
[9, 10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8]
[10, 11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9]
[11, 12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10]
[12, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
