[3, 9, 11, 10, 5, 1, 8, 12, 7, 4, 2, 6]
[6, 3, 9, 11, 10, 5, 1, 8, 12, 7, 4, 2]
[2, 6, 3, 9, 11, 10, 5, 1, 8, 12, 7, 4]
[4, 2, 6, 3, 9, 11, 10, 5, 1, 8, 12, 7]
[7, 4, 2, 6, 3, 9, 11, 10, 5, 1, 8, 12]
[12, 7, 4, 2, 6, 3, 9, 11, 10, 5, 1, 8]
[2, 4, 7, 12, 6, 3, 9, 11, 10, 5, 1, 8]
[4, 7, 12, 6, 3, 9, 11, 10, 5, 1, 8, 2]
[6, 12, 7, 4, 3, 9, 11, 10, 5, 1, 8, 2]
[2, 6, 12, 7, 4, 3, 9, 11, 10, 5, 1, 8]
[8, 2, 6, 12, 7, 4, 3, 9, 11, 10, 5, 1]
[12, 6, 2, 8, 7, 4, 3, 9, 11, 10, 5, 1]
[6, 2, 8, 7, 4, 3, 9, 11, 10, 5, 1, 12]
[2, 8, 7, 4, 3, 9, 11, 10, 5, 1, 12, 6]
[8, 7, 4, 3, 9, 11, 10, 5, 1, 12, 6, 2]
[3, 4, 7, 8, 9, 11, 10, 5, 1, 12, 6, 2]
[2, 3, 4, 7, 8, 9, 11, 10, 5, 1, 12, 6]
[6, 2, 3, 4, 7, 8, 9, 11, 10, 5, 1, 12]
[4, 3, 2, 6, 7, 8, 9, 11, 10, 5, 1, 12]
[12, 4, 3, 2, 6, 7, 8, 9, 11, 10, 5, 1]
[1, 12, 4, 3, 2, 6, 7, 8, 9, 11, 10, 5]
[5, 1, 12, 4, 3, 2, 6, 7, 8, 9, 11, 10]
[10, 5, 1, 12, 4, 3, 2, 6, 7, 8, 9, 11]
[11, 10, 5, 1, 12, 4, 3, 2, 6, 7, 8, 9]
[1, 5, 10, 11, 12, 4, 3, 2, 6, 7, 8, 9]
[5, 10, 11, 12, 4, 3, 2, 6, 7, 8, 9, 1]
[12, 11, 10, 5, 4, 3, 2, 6, 7, 8, 9, 1]
[1, 12, 11, 10, 5, 4, 3, 2, 6, 7, 8, 9]
[10, 11, 12, 1, 5, 4, 3, 2, 6, 7, 8, 9]
[11, 12, 1, 5, 4, 3, 2, 6, 7, 8, 9, 10]
[12, 1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 11]
[1, 5, 4, 3, 2, 6, 7, 8, 9, 10, 11, 12]
[5, 4, 3, 2, 6, 7, 8, 9, 10, 11, 12, 1]
[2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 1]
[1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12]
